time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451200000	10.2765	20.9725	4.66676	3.27024	0.495043	lidar	4.37932	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.043	20.95	4.74262	3.29293	0.497883	radar	1.04304	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.88085	20.9052	4.50711	3.33571	0.53151	lidar	1.18142	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.67165	20.8827	4.22686	3.34392	0.489663	radar	0.931813	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.49275	20.8386	4.1396	3.37472	0.501831	lidar	0.214395	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.28961	20.7882	4.3491	3.40665	0.524194	radar	1.54092	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91089	20.7894	4.85837	3.36177	0.406685	lidar	3.61633	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70898	20.7046	4.82513	3.40928	0.454476	radar	4.38689	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.38213	20.6343	5.13778	3.41051	0.41352	lidar	2.84417	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.13937	20.5596	5.16018	3.43602	0.423384	radar	0.0784973	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.89367	20.4775	5.16092	3.45996	0.426896	lidar	0.0436249	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.66579	20.3974	5.27267	3.4909	0.455085	radar	3.29033	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.30151	20.3478	5.62961	3.4641	0.37501	lidar	1.4569	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.04082	20.2608	5.50028	3.47758	0.358157	radar	0.291344	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.79599	20.1693	5.4556	3.49915	0.364776	lidar	0.0409406	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
